AvgPrice,AvgAge,AvgRoom,AvgSqrMeter,AvgPopulation
2232056.577,6.42,5,119,1122164
1242674.235,5.1,4,87,528048
1797350.794,4.24,5,110,1125948
1623484.318,6.46,6,140,391813
1085416.608,4.46,3,83,640323
2132200.995,7.15,2,70,1039612
1959819.113,5.74,3,70,913521
2104268.255,7.13,2,63,1008639
1248963.072,4,7,140,486229
635233.2173,5.49,4,126,132166
1698694.04,6.86,7,136,214863
865281.641,7.61,5,215,91741
1250241.509,5.64,3,84,317856
2438066.179,7.2,5,114,1088327
623722.8223,5.05,3,111,111012
653088.4716,6.2,4,130,131877
2134054.807,7.78,3,66,1160511
1340341.439,4.27,6,138,622987
2024041.057,5.74,4,114,1091495
2014824.623,5.02,5,110,806692
1754504.013,7.69,6,121,481535
956638.9318,7.58,5,208,66509
2367336.364,7.76,4,114,1023417
1966451.559,5.21,5,115,811270
2500255.537,7.05,4,112,1021245
2288049.761,5.86,5,112,863028
1564546.105,4.28,2,64,1036425
750495.0256,6.87,4,110,79707
2196923.05,5.5,5,116,999033
2231819.11,7.05,3,67,1184962
1716679.669,7.71,6,134,354018
610199.3687,6.25,3,127,78380
1848557.579,7.99,7,124,575698
1668879.253,7.15,6,133,615228
1251629.925,5.24,3,87,576307
1585447.469,4.38,2,60,970617
1266879.068,5.29,3,82,609020
917100.6251,6.91,5,202,64288
1868182.207,4.18,4,110,1025961
645839.5971,5.36,4,112,111078
618492.2534,5.24,3,125,97111
1595509.973,4.38,2,70,1185342
1716310.374,5.08,3,62,894374
874899.6144,6.8,5,230,118403
656048.0114,4.34,5,228,78227
740713.0239,6.77,4,130,84054
2029267.516,6.97,3,61,834587
1888760.608,6.23,2,68,855822
1553221.837,7.88,4,87,559141
1079986.013,4.75,3,81,528272
666831.4645,6.91,3,129,114831
1669609.357,6.44,7,132,420752
1031495.316,4.26,4,80,639337
715958.6577,4.35,5,205,118069
1938189.833,6.48,3,64,830366
1692311.665,7.37,6,122,497956
2393023.605,6.53,4,115,887969
720568.5257,5.37,4,209,122447
2308156.284,6.28,5,114,1151519
1653245.371,6.85,7,127,447334
1279968.28,6.24,3,89,616413
720052.8947,7.38,4,121,114360
563406.815,4.86,4,114,120942
1773151.571,5.66,3,68,1059649
2016010.393,5.23,5,113,1154463
1806410.915,5.12,2,60,814586
2588835.508,7.93,5,110,895822
1974292.806,5.15,4,115,1183361
797715.8091,6.56,5,225,62772
1884086.977,4.36,4,117,1105896
904267.494,6.45,5,206,117414
1866239.424,6.24,2,64,855858
2057132.97,6.61,3,65,1006394
904322.553,7.42,4,223,118849
720210.9072,6.58,4,121,62392
1407118.006,6.95,4,89,236102
1758452.987,5.09,2,70,1060977
2502378.885,7.12,4,114,1079524
1539313.059,5.28,7,139,262987
2338355.44,7.88,2,69,964566
749517.6144,5.33,4,207,137959
1767143.578,4.91,3,60,1024888
945551.4495,7.54,5,201,123707
808676.689,5.32,4,225,90292
1461518.729,5.56,6,135,398903
1419229.787,6.94,3,81,333783
696168.8069,6.62,3,115,84246
766378.0716,4.93,4,225,133814
1508855.15,7.63,3,82,355670
732806.8252,6.93,4,124,90764
2051942.017,5.71,4,110,887543
2053464.229,6.57,3,67,1031727
2119464.028,6.22,4,110,974568
1639330.743,4.77,2,69,945873
941002.4899,6.86,5,214,101145
557354.92,4.89,3,123,132078
1632026.914,4.37,3,70,1162950
1654143.272,4.32,3,62,937682
617770.9078,5.29,4,127,88683
1474535.691,7.61,4,80,337502
732038.2522,4.38,4,228,63186
1785570.934,4.78,2,66,1151597
671903.9726,6.17,3,123,127563
679372.9578,5.59,4,116,66949
796535.2509,6.38,5,217,136459
1107007.665,4.42,4,82,679796
669106.8808,5.47,3,117,96148
1664843.701,4.73,3,68,925081
1366123.733,4.41,6,120,396482
1915795.75,7.33,7,129,406349
1305747.258,6.26,4,83,613723
675540.32,4.5,4,202,95954
651864.2148,5.86,3,123,97829
1488728.307,4.74,6,130,419605
872461.364,7.61,5,216,131094
1402239.079,4.53,6,127,236605
2186722.567,6.27,4,117,988029
2248511.181,6.73,5,114,1048373
2421465.848,6.71,5,119,1006621
575784.72,4.25,4,128,62734
1953625.633,6.89,2,70,853757
1335623.479,6.93,4,87,680342
1225700.486,5.15,3,80,480499
1779744.849,5.35,3,67,1184184
2445844.267,7.53,4,112,1064503
592208.6352,5.47,3,125,123677
2576246.099,7.82,4,116,1111755
686301.852,4.46,4,205,127498
1242287.352,5.04,4,83,325537
781908.3311,5.72,4,203,115143
1365264.394,7.76,4,81,310401
2511019.276,7.73,5,112,966098
1299905.416,6.64,3,85,526773
1545929.345,5.56,7,124,277926
1935514.591,6.32,3,64,998209
1534078.815,7.84,3,81,614708
1835208.469,6.56,7,131,637474
646519.5788,6.58,4,122,85142
2577538.986,7.39,4,116,1165853
685056.7238,7.16,4,119,91331
1019357.548,4,4,86,366340
1834130.121,6.76,7,134,558337
648975.8818,6.64,4,115,62090
2294746.319,6.22,4,120,1196110
1584643.834,5.82,6,135,451744
1755179.697,7.15,7,135,636982
1300810.69,5.77,3,85,587046
1640894.307,6.52,6,123,596891
554325.183,4.37,3,115,63406
1606453.279,6.99,6,132,614999
2373134.818,6.67,4,118,806512
1438985.172,5.69,7,125,677691
2149325.618,6.58,5,115,866602
1467903.672,4.43,6,131,402091
2007461.274,5.1,5,116,966130
1071040.749,4.24,3,85,592658
1286453.749,5.33,3,87,510165
725678.4631,7.26,3,118,112567
1955968.014,6.71,2,70,1164444
584322.1784,5.21,4,130,74168
901026.4624,7.02,4,229,109151
1413277.3,4.05,7,133,209862
1473999.977,7.9,4,82,527025
2251246.953,5.98,4,115,1077955
670840.9897,6.51,3,128,132297
1604086.35,6.59,6,128,675482
1755440.924,6.36,6,132,207349
1210260.8,4,6,122,695691
2142671.163,7.31,2,65,869443
1582197.603,6.47,6,139,404812
1386932.934,6.81,4,84,617641
1165462.797,5.12,4,90,494154
737191.8624,6.55,4,118,133020
1663735.819,6.64,6,122,362420
1404039.817,4.73,6,139,547431
2225351.628,6.68,4,110,1166135
2282446.138,6.7,4,115,1192031
1156559.23,4.68,4,82,358609
629565.0094,5.43,4,129,82965
1099916.222,4.21,4,81,242654
1749775.838,7.31,7,130,405829
1687132.539,7.99,7,125,372663
2165564.819,5.68,5,116,1063522
1958380.64,6.91,2,65,974087
1954446.633,6.16,2,69,962373
1269460.317,5.61,4,88,380007
682891.6906,6.88,3,125,132216
1184607.318,4.8,3,81,226796
1656729.312,5.66,7,129,436624
994461.8112,7.96,4,221,60897
1845586.447,5.41,3,63,826682
760729.1552,7.68,3,115,81955
643759.8989,5.41,4,123,87793
1610726.854,4.04,3,67,826231
2535591.935,7.69,5,118,814199
1064404.408,4.36,3,81,594552
749720.1272,4.96,5,206,64944
2069340.251,7.08,3,69,1032573
2044048.358,5.31,5,120,845492
2006924.425,5.02,5,115,1173064
645833.9152,4.92,4,111,102516
1823561.24,4.1,4,118,1125874
758965.8032,6.4,4,213,136614
783546.5954,5.85,4,201,91977
2060542.206,5.77,5,112,1075414
1025406.249,4.28,4,81,549876
558695.9023,4.42,4,127,130943
623580.7914,4.55,4,119,107458
1279901.54,5.68,3,87,585333
1489647.323,5.43,7,124,285493
1459084.16,7.67,4,81,401196
1189670.188,5.4,4,80,448944
632670.0796,5.96,3,124,88771
670391.8147,6.48,3,121,130275
1458194.046,4.96,7,124,440395
951953.3488,7.68,5,227,139962
994938.5691,4.1,4,89,408638
1980314.657,4.94,4,119,848840
1345103.271,5.79,3,89,459029
811586.0944,5.96,4,215,91503
2039328.528,4.91,5,114,1158759
1717172.523,4.84,2,69,1031217
1691888.026,4.41,2,66,966429
1511920.117,7.89,3,88,634363
1845065.974,5.22,2,67,1002442
1509893.843,5.94,6,138,587255
947587.5988,6.69,4,220,133240
930878.9507,6.81,5,226,73491
2570649.316,7.97,4,118,1025603
1482091.778,5.73,7,126,668171
803772.5083,6.23,4,230,85399
2365967.72,7.66,5,117,1163810
1301436.836,7.29,3,84,331796
1516579.567,5.31,6,124,376124
728581.1857,5.23,4,215,119231
2287501.047,6.49,5,116,1141812
1484306.145,5.39,7,138,542611
1454458.81,6.8,4,83,682781
767850.425,5.1,4,223,117309
553856.415,4.25,4,121,139082
1600219.361,6.45,6,135,645359
1808180.229,4.96,2,62,1016035
2095693.71,7.76,3,60,919020
617968.9901,6.24,3,127,123711
704778.8598,7.35,4,113,121763
1477519.681,7.64,3,83,240727
1522340.879,5.27,6,126,562493
662372.8236,6.27,4,117,93538
851784.2422,7.11,5,210,83064
584059.6874,4.2,3,127,67847
1067893.04,4.66,3,83,486519
1661734.287,7.48,6,120,291465
2386527.293,7.59,4,116,893468
1382693.996,6.66,3,83,513206
706406.5445,4.18,5,201,63174
1450418.028,7.07,3,82,470218
1459811.424,4.35,7,120,227480
2028505.752,5.92,3,62,864514
2124015.442,5.77,4,120,1135202
1557162.919,5.55,6,138,597405
1353984.152,5.9,3,82,265188
2137664.852,7.36,2,70,1150332
947408.1942,7.17,5,204,94927
1353916.569,4.2,7,133,219242
2467840.156,6.59,5,120,1139666
675482.2158,7.23,4,126,64046
1292830.118,7.11,4,86,232977
1891513.916,5.21,3,69,1088763
1908777.294,6.45,3,61,1006792
1090237.554,4.26,4,84,367412
612850.0673,5.73,4,111,135624
749619.977,7.56,4,121,71120
2072008.17,7.44,2,67,871220
561407.52,5.25,3,119,83077
1040902.493,4.62,4,84,388727
2228903.782,6.72,4,112,873993
718607.88,4.2,4,220,69276
1784534.165,7.48,7,139,585400
2108841.159,7.03,2,63,812526
777189.0542,7.43,4,127,80980
1703499.25,7.56,6,134,429555
672001.2442,4.11,5,207,91951
2379820.222,7.83,4,110,961766
1296793.134,5.57,3,83,259428
2134638.913,6.47,5,119,826719
1426944.686,7.9,3,90,648212
1869850.265,4.12,4,115,896083
2308482.46,7.52,5,112,974600
827483.886,7.49,5,230,127592
1842872.412,6.74,7,122,286450
959432.7608,7.96,4,220,68508
2273602.581,6.25,5,116,1103490
1566622.444,5.88,6,127,463923
701960.0725,7.43,3,127,109965
1240359.707,6.19,4,90,487051
567347.5236,4.7,3,113,119768
1580317.2,8,3,90,200108
2396889.358,7.1,5,113,870261
1611127.199,4.51,3,65,856107
697895.3004,4.7,5,225,65158
1207273.146,6.37,4,87,570532
666414.3526,7.24,4,125,121234
644600.216,5.61,3,127,95619
641616.052,5.35,4,116,111641
834082.4716,6.18,4,203,75615
1444444.819,7.27,4,85,692873
1113216.854,4.53,4,89,612526
1306545.881,7.57,3,89,377366
747162.7038,7.16,3,121,75129
1136455.511,4.61,3,88,552601
1321439.64,4.01,7,128,362590
1033499.351,4.05,3,88,310099
633542.2848,4.4,4,220,71280
796128.595,6.18,5,230,101785
702986.068,4,5,229,76650
1828297.128,7.94,6,133,395185
1827745.69,5.35,2,62,1051698
2220234.82,5.88,5,110,961623
1133923.273,4.37,4,88,433360
1735726.501,6.21,6,136,648928
1324698.398,6.03,4,85,203812
735731.3544,7.09,3,121,85237
706433.6682,6.68,4,130,117574
1046527.423,4.65,3,80,517025
2348043.163,7.87,3,60,823623
673126.8512,7.2,4,116,133472
842377.7275,7.11,4,212,81461
2251956.563,6.98,5,113,1147168
2144457.84,5.36,4,113,1166754
1988965.956,5.78,3,67,878088
2063483.961,7.03,3,65,964235
2112696.888,7,3,69,825743
2335619.479,6.93,5,118,892725
1671045.917,5.79,6,140,340638
1817849.466,5.55,2,65,1084340
1732640.041,7.14,6,125,240816
634613.8864,6.4,4,120,105742
1998746.986,7.37,2,61,1143708
1929053.372,6.72,3,67,901281
1512949.548,5.96,6,134,267130
1752359.721,5.27,3,68,1048079
709321.7859,4.47,4,202,75978
1642277.153,6.82,6,121,373238
1060948.477,7.97,4,214,107781
812771.1236,5.97,5,203,113813
934148.7519,6.35,5,229,112124
1115954.394,4.17,4,89,483807
1329029.9,6.58,3,85,217192
1510515.869,5.4,6,129,379627
1690996.647,4.14,2,60,1142074
896266.8557,6.84,4,216,126918
1545368.825,5,7,120,228030
2348166.353,7.45,5,115,1183292
1310910.126,5.91,4,87,567134
1966461.45,6.81,2,67,995111
2112371.923,7.07,2,65,1142597
746501.2236,7.51,3,114,117276
1849546.064,5.22,2,60,1101306
1894195.257,5.4,2,65,1020107
721744.9168,5.85,5,209,84806
1307158.103,5.74,3,86,403158
2154532.478,6.37,4,115,955557
2004908.286,4.65,4,120,957177
1080894.189,4.26,4,88,583823
1157022.225,4.76,4,87,342573
1277798.058,5.98,4,88,301820
744137.2896,4.8,4,208,100946
1252695.012,4.05,6,138,625114
2031603.803,7.3,2,63,1084341
740017.2046,7.23,4,128,92567
1915174.314,5.93,3,61,1108042
687258.0608,7.03,4,115,133826
758325.272,7.19,4,125,114493
1867209.708,5.75,2,68,1000505
677133.093,6.11,3,118,95159
1697468.734,4.75,3,69,956077
2612465.434,7.63,5,115,985107
1806042.203,6.74,6,138,650730
740297.958,6.71,3,118,89415
2138792.752,6.69,2,62,1092061
2124051.138,5.72,5,111,937786
2092491.135,6.79,2,60,1109180
1523233.44,5.61,7,136,564787
707573.3678,4.35,5,228,121293
1666396.667,7.25,7,124,312109
1853646.605,6.07,3,63,803581
781504.2058,6.56,5,222,132389
1181805.328,5.88,3,85,455369
780418.1616,7.34,3,127,120364
2271074.812,6.96,5,110,1198649
527646.8673,4.09,4,118,115027
1393627.368,4.95,6,139,305990
703934.8742,7.59,3,110,70022
782697.4298,5.55,5,204,139441
1650833.77,6.65,7,131,494139
809557.2745,7.46,4,224,139305
2028455.736,5.97,5,116,968011
970515.2637,7.83,5,200,114622
735256.2503,6.95,4,110,96766
2245458.572,6.69,4,111,829165
1650617.76,4.54,2,65,1011742
2325044.216,7.65,2,65,893009
2365739.807,7.55,5,114,913570
1887985.079,4.26,5,110,1028857
1524039.638,7.93,4,86,469397
2136077.251,7.55,3,63,1044339
765062.848,7,3,118,96864
2004771.122,7.94,6,127,427459
2242823.72,6.17,5,110,1002250
1661072.276,4.79,3,66,861626
1921302.358,6.6,2,66,978770
1445398.942,5.03,6,127,409391
815963.9795,6.39,5,212,139661
1429192.379,7.08,3,82,693883
673524.8802,4.23,4,225,102012
2362813.37,7.89,4,110,992770
1832224.66,5.13,3,66,1103296
757325.366,5.89,5,218,98204
1943420.066,6.05,2,62,1047651
758022.989,7.89,3,122,121449
1761371.803,5.07,2,69,1088290
710355.7633,6.85,3,111,95053
2609504.355,7.96,4,115,836039
1899477.264,4.75,5,119,828889
561119.768,5.36,4,124,61519
2083338.241,7.69,2,66,1109607
2315364.8,6.2,5,120,1000653
616932.288,5.9,3,122,123119
1729417.136,6.39,7,133,298307
801254.566,6.38,5,214,134437
2056987.47,5.59,5,117,1152244
2181973.41,6.14,5,112,844866
645763.3182,5.45,3,112,124363
1151313.169,4.82,4,85,330082
1982434.767,4.28,4,114,1149561
1477831.005,7.67,4,84,218742
1126881.753,4.89,4,89,575407
1004416.009,7.84,5,220,105365
2038539.18,5.23,4,120,841677
1367416.637,6.17,3,85,399792
2335954.753,7.91,3,65,1090596
1440072.564,6.62,4,81,366453
2220875.586,5.89,5,113,1008480
1831117.45,5.12,3,69,1002958
1974323.774,5.01,4,117,1069932
1947467.776,8,7,125,488696
758688.6206,6.03,4,214,109534
1228545.032,5.57,4,88,416171
774501.4508,7.51,3,110,111645
1621899.277,7.19,7,124,434266
1301419.751,4.1,7,135,596088
1998280.347,4.66,4,116,832572
844964.1738,6.1,4,221,66695
587444.0721,4.87,3,112,111632
1794320.366,5.69,3,68,967474
709358.0569,5.05,4,200,84133
1679264.142,7.15,6,121,416333
2101398.374,7.91,2,67,1149015
1256975.055,5.92,3,86,228255
1511743.88,5.41,7,130,310977
553603.0411,4.23,3,116,80513
561222.3839,4.55,4,126,132919
723836.3545,5.71,5,204,81394
1185958.276,5.3,3,80,629249
782994.5805,5.04,5,220,97876
2221020.016,7.26,3,60,1093431
563648.205,5.25,3,130,130418
767914.3998,5.61,5,217,99864
1870141.271,5.42,2,70,1017842
1558721.67,5.6,7,121,248059
1487555.641,7.95,3,90,361418
2078884.585,5.53,5,112,1166940
2121011.891,7.2,2,66,842775
728405.8834,5.33,4,211,72306
1949388.467,5.09,5,117,858839
1265943.817,6.2,4,83,459089
1638952.617,4.31,3,60,1103483
1877340.783,4.65,4,112,1112185
709448.352,7.31,4,121,69152
781551.3359,5.42,4,209,76277
2527346.379,7.37,4,119,933189
1530328.073,6.05,7,136,661341
1745900.105,4.77,3,67,882306
1333825.911,5.91,3,89,690069
1048281.85,4.36,4,82,536685
2150529.178,7.9,3,63,864673
814419.9968,6.39,4,208,76263
721880.745,7.49,4,121,90077
1895454.288,8,7,124,316261
1360486.726,5.9,4,90,349057
1294657.915,6.88,3,81,408573
2087663.072,5.23,4,113,870850
1506135.037,7.7,3,85,349049
1161142.99,4.55,4,80,340367
1547844.461,5.82,7,126,529668
1417477.944,4.21,7,125,274272
1563936.62,5.85,6,129,299650
718219.9984,6.49,4,116,66572
1822512.048,8,6,126,428963
2061992.158,7.3,2,70,1155976
1322921.107,7.23,3,80,522538
1400194.814,5.13,6,134,633889
2170783.088,8,3,66,883319
2171422.154,6.02,5,119,993518
1028663.079,4.42,3,87,215398
690525.1507,6.84,4,110,105209
675033.2914,6.19,3,125,78089
1297809.522,6.97,4,81,274834
1817133.753,4.98,3,68,1150597
736809.641,6.72,4,126,62834
915107.578,5.81,5,212,60753
2197880.459,6.96,5,114,806628
1531951.06,7.77,4,85,514214
1733348.34,6.01,6,121,470121
1293988.117,6.02,3,82,306201
604482.308,4.93,3,117,130860
2016097.138,6.78,3,65,1163083
2333427.192,7.46,5,118,823769
851856.1645,7.22,5,202,118460
1367724.122,4.29,7,130,560733
548743.6357,4.19,3,110,84480
1769215.612,5.52,2,70,877138
1322830.354,5.87,3,84,275229
2471594.208,7.73,4,114,923346
2039182.598,4.85,4,111,1034224
636307.0029,6.04,3,127,99268
1494216.615,5.8,7,136,477498
1538151.152,5.2,7,121,631569
1778723.375,5.14,2,68,940894
1191636.913,4.77,4,88,641895
2264230.805,7.69,2,63,868537
627236.6239,5.79,3,110,105667
1898540.112,4.65,5,120,888559
1790293.261,4.88,3,64,1114330
2031499.64,7.35,3,63,1047887
1803821.637,5.53,3,63,913844
783006.0302,4.81,4,211,118323
1669307.659,4.91,3,65,990360
1285537.567,4.13,6,135,243479
1064244.134,4.14,4,86,419305
2497663.923,6.96,4,112,1161211
719977.2738,4.39,4,209,129481
2133981.029,7.43,3,67,962375
1883907.162,6.43,2,67,1180749
1693692.298,5.08,2,62,896537
740709.7421,6.72,3,127,84162
1869045.314,5.99,2,68,862166
2166299.139,5.73,4,120,987075
789120.9414,5.36,4,204,128503
879557.7838,6.22,4,212,138403
1278174.617,5.65,4,85,659573
1671581.614,6.56,6,131,346772
690817.3467,5.82,3,120,84798
725868.3182,7.86,4,110,86777
1802984.389,6.64,7,134,244391
1107787.793,4.86,4,87,506289
1323917.593,5.62,3,83,480894
2378586.699,7.65,5,110,804111
762548.996,7.96,3,121,125568
1900624.903,4.75,4,112,833873
2132317.047,5.58,5,115,829587
1138432.932,4.5,3,89,430879
2154472.66,7.17,3,62,1125212
885526.6833,7.79,5,220,113427
715024.0552,4.02,5,205,111853
841256.7174,6.45,5,225,128885
1800783.671,4.11,4,110,947718
889499.4304,7.83,4,226,125374
2391430.038,6.86,5,113,994001
609942.4278,5.42,3,112,72688
1306351.607,6.32,3,84,241424
2124063.523,7.33,3,66,907975
1733024.759,7,6,131,659233
2695009.742,7.73,4,119,947060
575310.7906,5.06,4,123,137217
2192838.784,6.11,5,120,1148525
1633456.133,5.86,7,137,670297
1693351.112,5.83,7,124,553247
561685.8518,4.51,3,111,91980
1350434.174,4.1,6,137,259541
692089.8152,6.47,4,114,135195
1751495.63,5.06,2,70,1070270
690658.3802,6.22,3,121,107366
777854.7483,6.23,4,221,80469
1646976.89,6.98,7,127,610850
2266347.221,7.48,2,64,1125348
1923029.852,5.79,3,63,896422
1742867.668,5.11,3,64,1008186
678700.6477,5.59,3,117,104715
1803652.373,4.66,5,110,1135009
647016.6465,5.53,4,127,134968
1592387.711,6.13,7,130,349670
824861.3888,6.43,4,201,77132
1182002.258,4.98,3,90,503507
2172898.703,5.8,4,118,870830
1651107.418,6.05,6,124,528473
1413665.17,5,7,137,272316
1561954.048,5.18,7,135,678885
1357326.003,7.39,3,86,232800
1487978.117,4.75,7,127,223706
1693927.263,4.42,2,62,1037516
1632241.376,6.38,6,125,481565
1852253.405,5.69,2,65,1024617
721075.9488,7.77,4,116,138220
625757.4161,5.02,3,120,103221
2399159.074,6.43,4,117,803915
700073.1099,4.42,5,202,88914
893584.8827,6.96,4,225,112299
2341379.164,6.43,4,115,815711
662665.2622,5.55,3,118,64218
1444014.032,7.57,4,85,228097
1991297.508,6.81,3,64,1190652
1239391.471,5.85,3,84,628742
2334830.992,7.77,5,118,835202
693461.672,7.13,4,125,118244
1907292.652,4.87,4,116,813604
1101394.488,4.41,3,89,383143
1253906.848,6.69,4,81,300959
1278638.793,5.61,4,80,237533
1037165.293,4.11,3,84,522295
1530134.995,5.02,6,129,663834
1943994.155,5.12,4,111,844951
1968405.193,6.28,3,70,1191667
2111821.737,7.14,3,62,1042383
952747.0717,7.19,5,225,120241
1584000.299,4.31,3,64,821254
524191.8326,4.54,3,126,60719
1954216.989,5.9,2,61,1120245
2167059.879,6.04,4,117,1037303
1121309.459,5.23,3,87,484759
2120994.135,6.02,4,115,1072091
563223.3436,4.22,4,122,139155
687039.456,7.14,4,122,104495
2286985.181,6.79,5,110,874665
631863.5523,6.38,4,127,77677
712862.7351,4.73,4,213,79178
1913046.981,5.54,2,64,803015
826643.0245,6.03,4,202,100914
1144638.612,5.58,4,84,207229
959581.9402,7.52,5,203,103556
1873832.833,5.67,3,62,933647
1668747.926,6.13,6,132,607448
666305.3728,4.56,5,223,123463
1382052.045,7.87,4,80,618921
1032838.868,7.85,4,229,130312
1707012.972,5.82,7,134,304325
1283682.125,4.05,6,127,254010
2168685.749,6.52,5,114,1128568
804013.2625,6.75,5,224,122495
774514.675,7.73,3,112,113201
622361.5062,4.67,3,124,116882
1527853.193,5.23,7,134,392770
2317327.382,7.73,5,120,1173609
1182611.796,4.67,4,83,396961
951007.4118,6.91,4,221,75583
763238.0576,4.1,4,218,128589
764552.6592,7.6,4,125,87989
661799.2356,6.35,4,126,60424
546596.8695,4.53,3,118,91399
763997.2148,5.98,5,205,138633
1421527.878,6.54,4,84,444305
1270692.198,6.86,3,86,689644
915090.81,6.6,4,213,94927
1474623.259,7.03,3,83,279352
1787075.555,5.48,3,60,1014340
1291354.962,4.19,6,121,625522
720976.5108,7.9,4,116,71359
1916052.343,7.52,7,138,491919
1174523.232,5.23,3,82,509680
652532.1779,5.28,4,119,113485
1218548.691,5.13,3,85,632606
2127502.614,5.07,4,117,1159014
1166255.739,5.28,3,87,479820
1103274.874,4.18,3,84,212557
825877.8845,5.92,4,212,83086
2057785.971,6.69,2,62,916249
1102297.088,4.16,3,81,485232
1379458.945,7.16,4,90,542022
1999945.513,7.97,6,136,684916
2255959.417,7.32,3,69,942039
1279937.056,6.57,4,86,691758
1994717.943,6.3,2,60,1155599
753539.3619,6.98,3,126,100450
1753470.575,7.5,6,127,443764
1247941.897,6.9,4,86,508995
1935988.575,5.86,3,65,928093
1530900.3,4,3,69,909343
2036595.022,5.13,4,114,987765
1100053.064,4.39,3,88,258562
1325584.948,5.95,4,80,201327
2395210.422,7.32,4,118,1096256
1637239.612,6.29,7,122,420540
1493789.543,5.44,6,137,388938
657950.0314,6.32,4,128,78943
2434412.503,7.13,5,117,941160
2140670.632,7.92,2,64,1155645
1814272.993,5.93,3,67,876710
712499.984,4.05,5,205,84711
1383893.971,7.04,4,82,248975
1380785.251,7.76,4,86,284386
595113.2642,5.04,4,128,132137
640050.6392,5.2,4,120,67370
1657822.055,6.82,6,128,644171
1829450.208,4.49,5,114,842012
2031528.825,6.16,3,69,1011242
2265232.38,6.74,4,120,1089356
619102.718,6.42,3,119,130247
1214289.965,5.12,3,80,660275
1962870.829,5.02,4,114,976975
1502099.25,4.77,7,140,699540
2247664.39,6.91,4,118,969222
671940.092,6.12,4,116,128113
2036038.539,7.35,2,69,876372
751342.2278,7.25,4,119,74786
819848.5734,6.1,4,204,90157
1891661.852,5.18,2,60,810853
